,RMSE,RMSE,R2,R2
Mode,gp,kriging,gp,kriging
Scenario,,,,
S1_Isotropic,2.1062653000563136,1.1405327159061789,0.38894933523866115,0.8208294735315453
S2_Anisotropic_45deg,1.0414012544746867,1.109963231011179,0.7174184411472673,0.6789853825746458
S3_Sparse_Aniso_120deg,1.7200465623348673,1.627290462225837,0.14036188318959253,0.23057655608386174
S4_HighNugget_Isotropic,2.334483622792143,2.4915680869361014,0.49250885088563945,0.4219141642022195
S5_SGS_Extreme_Aniso,0.8988446363001563,0.9593533288043747,0.10658087536778149,-0.0177547924090129
S6_SGS_Nested,0.777908564431042,0.7919590092622858,0.1282106362913782,0.09643402706003779
S7_SGS_Clustered,0.6133255199031952,0.742901340294683,0.5073107176149774,0.2771414412632969
S8_SGS_HighNugget,0.9131827133238134,0.9051386500862887,0.0010302549825038643,0.018552231315339673
